pca,results,kNN,LDA,SVM,Random Forest,AdaBoost,MLP
       0.0123486 , 0.0145329 , 0.0162991 , 0.02304778, 0.02051563,
       0.00239639, 0.0043797 , 0.00636597, 0.00830288, 0.01056724,
       0.0128274 , 0.01455655, 0.01655211, 0.0184782 , 0.01723309]), 'std_score_time': array([3.13254347e-03, 1.82591489e-04, 2.04705198e-04, 1.45017796e-03,
       3.61488435e-04, 4.14854905e-05, 4.76797412e-04, 2.02141873e-04,
       1.07672276e-03, 2.76178821e-04, 7.18338364e-05, 1.49528819e-04,
       2.24670843e-04, 7.27992935e-04, 1.78240901e-04, 9.47310739e-04,
       2.71695227e-04, 4.35994496e-04, 4.06007030e-04, 7.79518646e-03,
       3.26667909e-05, 3.25165184e-05, 7.22737873e-04, 4.54505571e-04,
       3.34277963e-03, 3.48419224e-04, 4.69224516e-04, 3.71945864e-04,
       4.00768483e-04, 6.23010884e-04, 4.95551511e-05, 1.22476754e-04,
       2.83441890e-05, 2.28909878e-04, 4.06584072e-04, 3.84083359e-04,
       7.08626544e-05, 4.30600735e-04, 9.88669045e-03, 7.27328144e-05,
       3.88999183e-05, 9.10198828e-05, 1.97985946e-04, 3.23003289e-04,
       1.01274707e-03, 1.56082671e-03, 1.85495085e-04, 2.50163952e-04,
       9.99614242e-05, 7.46818454e-03]), 'param_learning_rate': masked_array(data=[0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001,
                   0.0001, 0.0001, 0.0001, 0.001, 0.001, 0.001, 0.001,
                   0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.01, 0.01,
                   0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.1,
                   0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 1.0, 1.0,
                   1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0],
             mask=[False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False],
       fill_value='?',
            dtype=object), 'param_n_estimators': masked_array(data=[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 10, 20, 30,
                   40, 50, 60, 70, 80, 90, 100, 10, 20, 30, 40, 50, 60,
                   70, 80, 90, 100, 10, 20, 30, 40, 50, 60, 70, 80, 90,
                   100, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100],
             mask=[False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False],
       fill_value='?',
            dtype=object), 'params': [{'learning_rate': 0.0001, 'n_estimators': 10}, {'learning_rate': 0.0001, 'n_estimators': 20}, {'learning_rate': 0.0001, 'n_estimators': 30}, {'learning_rate': 0.0001, 'n_estimators': 40}, {'learning_rate': 0.0001, 'n_estimators': 50}, {'learning_rate': 0.0001, 'n_estimators': 60}, {'learning_rate': 0.0001, 'n_estimators': 70}, {'learning_rate': 0.0001, 'n_estimators': 80}, {'learning_rate': 0.0001, 'n_estimators': 90}, {'learning_rate': 0.0001, 'n_estimators': 100}, {'learning_rate': 0.001, 'n_estimators': 10}, {'learning_rate': 0.001, 'n_estimators': 20}, {'learning_rate': 0.001, 'n_estimators': 30}, {'learning_rate': 0.001, 'n_estimators': 40}, {'learning_rate': 0.001, 'n_estimators': 50}, {'learning_rate': 0.001, 'n_estimators': 60}, {'learning_rate': 0.001, 'n_estimators': 70}, {'learning_rate': 0.001, 'n_estimators': 80}, {'learning_rate': 0.001, 'n_estimators': 90}, {'learning_rate': 0.001, 'n_estimators': 100}, {'learning_rate': 0.01, 'n_estimators': 10}, {'learning_rate': 0.01, 'n_estimators': 20}, {'learning_rate': 0.01, 'n_estimators': 30}, {'learning_rate': 0.01, 'n_estimators': 40}, {'learning_rate': 0.01, 'n_estimators': 50}, {'learning_rate': 0.01, 'n_estimators': 60}, {'learning_rate': 0.01, 'n_estimators': 70}, {'learning_rate': 0.01, 'n_estimators': 80}, {'learning_rate': 0.01, 'n_estimators': 90}, {'learning_rate': 0.01, 'n_estimators': 100}, {'learning_rate': 0.1, 'n_estimators': 10}, {'learning_rate': 0.1, 'n_estimators': 20}, {'learning_rate': 0.1, 'n_estimators': 30}, {'learning_rate': 0.1, 'n_estimators': 40}, {'learning_rate': 0.1, 'n_estimators': 50}, {'learning_rate': 0.1, 'n_estimators': 60}, {'learning_rate': 0.1, 'n_estimators': 70}, {'learning_rate': 0.1, 'n_estimators': 80}, {'learning_rate': 0.1, 'n_estimators': 90}, {'learning_rate': 0.1, 'n_estimators': 100}, {'learning_rate': 1.0, 'n_estimators': 10}, {'learning_rate': 1.0, 'n_estimators': 20}, {'learning_rate': 1.0, 'n_estimators': 30}, {'learning_rate': 1.0, 'n_estimators': 40}, {'learning_rate': 1.0, 'n_estimators': 50}, {'learning_rate': 1.0, 'n_estimators': 60}, {'learning_rate': 1.0, 'n_estimators': 70}, {'learning_rate': 1.0, 'n_estimators': 80}, {'learning_rate': 1.0, 'n_estimators': 90}, {'learning_rate': 1.0, 'n_estimators': 100}], 'split0_test_score': array([0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.76079734, 0.76079734, 0.75747508, 0.75747508,
       0.75747508, 0.76079734, 0.76079734, 0.76079734, 0.76079734]), 'split1_test_score': array([0.74086379, 0.74086379, 0.74086379, 0.74086379, 0.74086379,
       0.74086379, 0.74086379, 0.74086379, 0.74086379, 0.74086379,
       0.74086379, 0.74086379, 0.74086379, 0.74086379, 0.74086379,
       0.74086379, 0.74086379, 0.74086379, 0.74086379, 0.74086379,
       0.74086379, 0.74086379, 0.74086379, 0.74086379, 0.74086379,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.74086379, 0.75747508, 0.74086379, 0.75747508,
       0.75747508, 0.75747508, 0.74750831, 0.75747508, 0.75747508]), 'split2_test_score': array([0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76333333, 0.76333333, 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76333333, 0.76333333, 0.76333333]), 'split3_test_score': array([0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76588629, 0.76588629, 0.76588629, 0.76588629,
       0.76588629, 0.76588629, 0.76588629, 0.76588629, 0.76588629]), 'split4_test_score': array([0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.75250836, 0.76254181, 0.76254181, 0.75585284,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181]), 'mean_test_score': array([0.75666667, 0.75666667, 0.75666667, 0.75666667, 0.75666667,
       0.75666667, 0.75666667, 0.75666667, 0.75666667, 0.75666667,
       0.75666667, 0.75666667, 0.75666667, 0.75666667, 0.75666667,
       0.75666667, 0.75666667, 0.75666667, 0.75666667, 0.75666667,
       0.75666667, 0.75666667, 0.75666667, 0.75666667, 0.75666667,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.75666667, 0.762     , 0.75733333, 0.75933333,
       0.76066667, 0.76133333, 0.76      , 0.762     , 0.762     ]), 'std_test_score': array([0.00813799, 0.00813799, 0.00813799, 0.00813799, 0.00813799,
       0.00813799, 0.00813799, 0.00813799, 0.00813799, 0.00813799,
       0.00813799, 0.00813799, 0.00813799, 0.00813799, 0.00813799,
       0.00813799, 0.00813799, 0.00813799, 0.00813799, 0.00813799,
       0.00813799, 0.00813799, 0.00813799, 0.00813799, 0.00813799,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00910032, 0.00279705, 0.00870894, 0.00352832,
       0.0032107 , 0.00279705, 0.00646968, 0.00279705, 0.00279705]), 'rank_test_score': array([25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25,
       25, 25, 25, 25, 25, 25, 25, 25,  6,  6,  6,  6,  6,  6,  6,  6,  6,
        6,  6,  6,  6,  6,  6,  6, 25,  1, 24, 23,  5,  4,  6,  1,  1],
      dtype=int32), 'split0_train_score': array([0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76730609, 0.76730609, 0.76563803, 0.76563803,
       0.76563803, 0.76730609, 0.76730609, 0.76730609, 0.76730609]), 'split1_train_score': array([0.76396997, 0.76396997, 0.76396997, 0.76396997, 0.76396997,
       0.76396997, 0.76396997, 0.76396997, 0.76396997, 0.76396997,
       0.76396997, 0.76396997, 0.76396997, 0.76396997, 0.76396997,
       0.76396997, 0.76396997, 0.76396997, 0.76396997, 0.76396997,
       0.76396997, 0.76396997, 0.76396997, 0.76396997, 0.76396997,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76146789, 0.76563803, 0.76230192, 0.76563803, 0.76313595,
       0.76313595, 0.76313595, 0.75312761, 0.76313595, 0.76313595]), 'split2_train_score': array([0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76083333, 0.76083333, 0.76166667, 0.76166667,
       0.76166667, 0.76166667, 0.76083333, 0.76083333, 0.76083333]), 'split3_train_score': array([0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.76019983, 0.76186511, 0.76186511, 0.76186511, 0.76269775,
       0.76269775, 0.76269775, 0.76353039, 0.76353039, 0.76436303]), 'split4_train_score': array([0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.76019983, 0.76269775, 0.76353039, 0.76436303, 0.76686095,
       0.76436303, 0.76353039, 0.76436303, 0.76436303, 0.76519567]), 'mean_train_score': array([0.76066764, 0.76066764, 0.76066764, 0.76066764, 0.76066764,
       0.76066764, 0.76066764, 0.76066764, 0.76066764, 0.76066764,
       0.76066764, 0.76066764, 0.76066764, 0.76066764, 0.76066764,
       0.76066764, 0.76066764, 0.76066764, 0.76066764, 0.76066764,
       0.76066764, 0.76066764, 0.76066764, 0.76066764, 0.76066764,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76050028, 0.76366806, 0.76316737, 0.76383417, 0.76399987,
       0.76350029, 0.76366737, 0.76183209, 0.76383376, 0.76416681]), 'std_train_score': array([0.00171666, 0.00171666, 0.00171666, 0.00171666, 0.00171666,
       0.00171666, 0.00171666, 0.00171666, 0.00171666, 0.00171666,
       0.00171666, 0.00171666, 0.00171666, 0.00171666, 0.00171666,
       0.00171666, 0.00171666, 0.00171666, 0.00171666, 0.00171666,
       0.00171666, 0.00171666, 0.00171666, 0.00171666, 0.00171666,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00052629, 0.00242255, 0.00224292, 0.00175287, 0.00193675,
       0.00137501, 0.00192273, 0.00481706, 0.00209374, 0.00215067])}","{'mean_fit_time': array([0.46989865, 0.42857676, 0.12711334, 0.07212472, 0.05326171,
       0.06215377, 0.62516117, 0.24631004, 0.09808755, 0.08373184,
       0.11026778, 0.13937035, 0.65124774, 0.22185583, 0.09001431,
       0.08930349, 0.12618585, 0.13979964, 0.68964281, 0.14289346,
       0.09595866, 0.09280028, 0.17219753, 0.08768206, 3.23110371,
       0.55995388, 0.38576522, 0.44398708, 0.59319315, 0.42088137,
       0.8741374 , 0.19061465, 0.08088789, 0.09377546, 0.15138006,
       0.16439948, 0.62214875, 0.16392164, 0.08624806, 0.11172833,
       0.17393761, 0.11238952, 0.809691  , 0.22429833, 0.17384272,
       0.25359278, 0.27082629, 0.38698525, 2.54432364, 0.608287  ,
       0.39037185, 0.70708222, 1.07799377, 0.60200887, 1.14342752,
       0.16999383, 0.16625261, 0.17807913, 0.27379179, 0.26597171,
       1.00527029, 0.15847092, 0.23167958, 0.22789178, 0.36412535,
       0.24999843, 2.31108909, 0.57578902, 0.44217482, 0.51142759,
       0.85616102, 0.6530714 , 0.7469389 , 0.20621357, 0.25869956,
       0.3190443 , 0.40695963, 0.27264671, 2.4087997 , 0.81049614,
       0.69180274, 0.79771686, 1.71454692, 1.12312045, 2.21932473,
       0.8346818 , 1.04870443, 1.08164954, 1.60143261, 1.02967033,
       0.61317096, 0.41210113, 0.12333322, 0.06039729, 0.05153723,
       0.05800858, 0.70687571, 0.31475773, 0.16389222, 0.12504287,
       0.08860178, 0.09718547, 0.79389968, 0.25331812, 0.19530368,
       0.11848083, 0.10951953, 0.11658659, 0.96183586, 0.27272658,
       0.13571501, 0.1638402 , 0.12625184, 0.21041102, 3.09587231,
       1.04835196, 0.70303788, 0.63949223, 0.74438314, 0.6650815 ,
       1.07040844, 0.35256829, 0.201373  , 0.19439468, 0.16837978,
       0.10139217, 1.06075821, 0.38679781, 0.2594573 , 0.13627882,
       0.15009151, 0.16998382, 1.35486422, 0.38347955, 0.50397282,
       0.35707989, 0.21688566, 0.31112843, 6.31699748, 1.80962358,
       1.75988941, 0.63502755, 0.8230792 , 0.62742882, 1.41563487,
       0.28577909, 0.46100216, 0.31085424, 0.27201791, 0.22033257,
       1.48471913, 0.42555547, 0.49296522, 0.28601184, 0.36593008,
       0.38920441, 5.85953169, 2.05004168, 1.65741181, 0.73797216,
       1.11525431, 1.12308121, 1.24770522, 0.28263888, 0.48523555,
       0.41382709, 0.34845042, 0.35094647, 4.63255544, 2.00221148,
       1.71598721, 1.35706801, 1.40892158, 1.35091462, 3.49093819,
       4.09161916, 2.00834494, 1.94045129, 1.15861478, 1.06228919,
       0.63872137, 0.46337681, 0.14557157, 0.05500212, 0.0612288 ,
       0.06641245, 0.71643777, 0.37841067, 0.15250449, 0.12168326,
       0.08800349, 0.09466538, 0.81155396, 0.27659688, 0.112676  ,
       0.09864607, 0.12896919, 0.07834148, 0.90376377, 0.25695496,
       0.15243516, 0.14710445, 0.13640504, 0.10043192, 4.76931767,
       1.02448468, 0.83987222, 0.79555483, 0.75421877, 0.40983448,
       1.11918254, 0.25654054, 0.16890845, 0.15558963, 0.16630054,
       0.08566384, 0.9338922 , 0.27562499, 0.17964954, 0.13289142,
       0.16229329, 0.08746195, 1.13047643, 0.46097722, 0.22344637,
       0.26654539, 0.2905406 , 0.25154262, 5.16258183, 1.34673891,
       0.96747365, 0.79535294, 0.99706521, 0.54278879, 1.09420118,
       0.38806806, 0.28539701, 0.21178536, 0.30206633, 0.21127458,
       1.29829378, 0.38611312, 0.28170896, 0.37644477, 0.31324267,
       0.22325344, 3.75132079, 1.80163908, 1.08529444, 0.93538465,
       0.95993266, 0.55249882, 1.10637283, 0.42877264, 0.37310109,
       0.35122313, 0.3004817 , 0.31293383, 4.5715889 , 1.91791639,
       1.50563736, 0.89235277, 1.03709145, 0.64339871, 4.14427733,
